game_pk,game_date,season,game_type,status_code,doubleheader,game_number,home_id,home_abbr,away_id,away_abbr,venue_id,statsapi_path,statsapi_bytes,statsapi_sha256,savant_path,savant_rows,savant_bytes,savant_sha256
748233,2024-02-25,2024,S,F,N,1,112,CHC,135,SD,4629,,,,,,,
748234,2024-02-25,2024,S,F,N,1,158,MIL,115,COL,2518,,,,,,,
748235,2024-02-25,2024,S,F,N,1,136,SEA,114,CLE,2530,,,,,,,
748236,2024-02-25,2024,S,F,N,1,113,CIN,108,LAA,3834,,,,,,,
748237,2024-02-25,2024,S,F,N,1,143,PHI,147,NYY,2700,,,,,,,
748238,2024-02-25,2024,S,F,N,1,111,BOS,142,MIN,4309,,,,,,,
748239,2024-02-25,2024,S,F,N,1,147,NYY,141,TOR,2523,,,,,,,
748240,2024-02-25,2024,S,F,N,1,117,HOU,138,STL,5000,,,,,,,
748241,2024-02-25,2024,S,F,N,1,146,MIA,120,WSH,2520,,,,,,,
748242,2024-02-25,2024,S,F,N,1,121,NYM,117,HOU,2856,,,,,,,
748243,2024-02-25,2024,S,F,N,1,139,TB,116,DET,2534,,,,,,,
748244,2024-02-25,2024,S,F,N,1,144,ATL,111,BOS,5380,,,,,,,
748245,2024-02-25,2024,S,F,N,1,134,PIT,110,BAL,2526,,,,,,,
748213,2024-02-26,2024,S,F,N,1,145,CWS,140,TEX,3809,,,,,,,
748214,2024-02-26,2024,S,F,N,1,113,CIN,136,SEA,3834,,,,,,,
748215,2024-02-26,2024,S,F,N,1,135,SD,114,CLE,2530,,,,,,,
748216,2024-02-26,2024,S,F,N,1,115,COL,119,LAD,4249,,,,,,,
748217,2024-02-26,2024,S,F,N,1,158,MIL,113,CIN,2518,,,,,,,
748218,2024-02-26,2024,S,F,N,1,118,KC,112,CHC,2603,,,,,,,
748219,2024-02-26,2024,S,F,N,1,133,OAK,109,AZ,2507,,,,,,,
748220,2024-02-26,2024,S,F,N,1,137,SF,108,LAA,2532,,,,,,,
748221,2024-02-26,2024,S,F,N,1,111,BOS,143,PHI,4309,,,,,,,
748222,2024-02-26,2024,S,F,N,1,110,BAL,139,TB,2508,,,,,,,
748223,2024-02-26,2024,S,F,N,1,147,NYY,142,MIN,2523,,,,,,,
748224,2024-02-26,2024,S,F,N,1,146,MIA,138,STL,2520,,,,,,,
748225,2024-02-26,2024,S,F,N,1,141,TOR,134,PIT,2536,,,,,,,
748226,2024-02-26,2024,S,F,N,1,120,WSH,121,NYM,5000,,,,,,,
748227,2024-02-26,2024,S,F,N,1,116,DET,117,HOU,2511,,,,,,,
748228,2024-02-26,2024,S,F,N,1,144,ATL,110,BAL,5380,,,,,,,
748197,2024-02-27,2024,S,F,N,1,108,LAA,158,MIL,2500,,,,,,,
748198,2024-02-27,2024,S,F,N,1,137,SF,136,SEA,2532,,,,,,,
748199,2024-02-27,2024,S,F,N,1,119,LAD,145,CWS,3809,,,,,,,
748200,2024-02-27,2024,S,F,N,1,109,AZ,140,TEX,4249,,,,,,,
748201,2024-02-27,2024,S,F,N,1,114,CLE,133,OAK,3834,,,,,,,
748202,2024-02-27,2024,S,F,N,1,135,SD,118,KC,2530,,,,,,,
748203,2024-02-27,2024,S,F,N,1,112,CHC,113,CIN,4629,,,,,,,
748204,2024-02-27,2024,S,F,N,1,118,KC,115,COL,2603,,,,,,,
748205,2024-02-27,2024,S,F,N,1,139,TB,147,NYY,2534,,,,,,,
748206,2024-02-27,2024,S,F,N,1,121,NYM,146,MIA,2856,,,,,,,
748207,2024-02-27,2024,S,F,N,1,134,PIT,144,ATL,2526,,,,,,,
748208,2024-02-27,2024,S,F,N,1,142,MIN,143,PHI,2862,,,,,,,
748209,2024-02-27,2024,S,F,N,1,116,DET,141,TOR,2511,,,,,,,
748210,2024-02-27,2024,S,F,N,1,117,HOU,120,WSH,5000,,,,,,,
748211,2024-02-27,2024,S,F,N,1,110,BAL,116,DET,2508,,,,,,,
748212,2024-02-27,2024,S,F,N,1,138,STL,111,BOS,2520,,,,,,,
748183,2024-02-28,2024,S,F,N,1,133,OAK,137,SF,2507,,,,,,,
748184,2024-02-28,2024,S,F,N,1,140,TEX,119,LAD,2603,,,,,,,
748185,2024-02-28,2024,S,F,N,1,145,CWS,135,SD,3809,,,,,,,
748186,2024-02-28,2024,S,F,N,1,136,SEA,118,KC,2530,,,,,,,
748187,2024-02-28,2024,S,F,N,1,158,MIL,112,CHC,2518,,,,,,,
748188,2024-02-28,2024,S,F,N,1,114,CLE,109,AZ,3834,,,,,,,
748189,2024-02-28,2024,S,F,N,1,143,PHI,144,ATL,2700,,,,,,,
748190,2024-02-28,2024,S,F,N,1,115,COL,108,LAA,4249,,,,,,,
748191,2024-02-28,2024,S,F,N,1,121,NYM,138,STL,2856,,,,,,,
748192,2024-02-28,2024,S,F,N,1,141,TOR,139,TB,2536,,,,,,,
748193,2024-02-28,2024,S,F,N,1,146,MIA,117,HOU,2520,,,,,,,
748194,2024-02-28,2024,S,F,N,1,134,PIT,116,DET,2526,,,,,,,
748195,2024-02-28,2024,S,F,N,1,142,MIN,110,BAL,2862,,,,,,,
748196,2024-02-28,2024,S,F,N,1,120,WSH,111,BOS,5000,,,,,,,
748167,2024-02-29,2024,S,F,N,1,140,TEX,158,MIL,2603,,,,,,,
748168,2024-02-29,2024,S,F,N,1,109,AZ,137,SF,4249,,,,,,,
748169,2024-02-29,2024,S,F,N,1,133,OAK,135,SD,2507,,,,,,,
748170,2024-02-29,2024,S,F,N,1,136,SEA,145,CWS,2530,,,,,,,
748171,2024-02-29,2024,S,F,N,1,113,CIN,119,LAD,3834,,,,,,,
748172,2024-02-29,2024,S,F,N,1,145,CWS,118,KC,3809,,,,,,,
748173,2024-02-29,2024,S,F,N,1,108,LAA,114,CLE,2500,,,,,,,
748174,2024-02-29,2024,S,F,N,1,112,CHC,115,COL,4629,,,,,,,
748175,2024-02-29,2024,S,F,N,1,139,TB,144,ATL,2534,,,,,,,
748176,2024-02-29,2024,S,F,N,1,141,TOR,143,PHI,2536,,,,,,,
748177,2024-02-29,2024,S,F,N,1,147,NYY,146,MIA,2523,,,,,,,
748178,2024-02-29,2024,S,F,N,1,144,ATL,142,MIN,5380,,,,,,,
748179,2024-02-29,2024,S,F,N,1,110,BAL,134,PIT,2508,,,,,,,
748180,2024-02-29,2024,S,F,N,1,138,STL,120,WSH,2520,,,,,,,
748181,2024-02-29,2024,S,F,N,1,117,HOU,121,NYM,5000,,,,,,,
748182,2024-02-29,2024,S,F,N,1,111,BOS,116,DET,4309,,,,,,,
748151,2024-03-01,2024,S,F,N,1,137,SF,140,TEX,2532,,,,,,,
748152,2024-03-01,2024,S,F,N,1,115,COL,136,SEA,4249,,,,,,,
748153,2024-03-01,2024,S,F,N,1,112,CHC,145,CWS,4629,,,,,,,
748154,2024-03-01,2024,S,F,N,1,118,KC,133,OAK,2603,,,,,,,
748155,2024-03-01,2024,S,F,N,1,158,MIL,135,SD,2518,,,,,,,
748156,2024-03-01,2024,S,F,N,1,113,CIN,109,AZ,3834,,,,,,,
748157,2024-03-01,2024,S,F,N,1,119,LAD,114,CLE,3809,,,,,,,
748158,2024-03-01,2024,S,F,N,1,135,SD,108,LAA,2530,,,,,,,
748159,2024-03-01,2024,S,F,N,1,143,PHI,146,MIA,2700,,,,,,,
748160,2024-03-01,2024,S,F,N,1,116,DET,143,PHI,2511,,,,,,,
748161,2024-03-01,2024,S,F,N,1,134,PIT,139,TB,2526,,,,,,,
748162,2024-03-01,2024,S,F,N,1,138,STL,121,NYM,2520,,,,,,,
748163,2024-03-01,2024,S,F,N,1,147,NYY,141,TOR,2523,,,,,,,
748164,2024-03-01,2024,S,F,N,1,142,MIN,111,BOS,2862,,,,,,,
748165,2024-03-01,2024,S,F,N,1,120,WSH,117,HOU,5000,,,,,,,
748166,2024-03-01,2024,S,F,N,1,144,ATL,110,BAL,5380,,,,,,,
748135,2024-03-02,2024,S,F,N,1,137,SF,135,SD,2532,,,,,,,
748136,2024-03-02,2024,S,F,N,1,140,TEX,145,CWS,2603,,,,,,,
748137,2024-03-02,2024,S,F,N,1,115,COL,113,CIN,4249,,,,,,,
748138,2024-03-02,2024,S,F,N,1,158,MIL,119,LAD,2518,,,,,,,
748139,2024-03-02,2024,S,F,N,1,136,SEA,133,OAK,2530,,,,,,,
748140,2024-03-02,2024,S,F,N,1,114,CLE,118,KC,3834,,,,,,,
748141,2024-03-02,2024,S,F,N,1,110,BAL,147,NYY,2508,,,,,,,
748142,2024-03-02,2024,S,F,N,1,108,LAA,109,AZ,2500,,,,,,,
748143,2024-03-02,2024,S,F,N,1,119,LAD,112,CHC,3809,,,,,,,
748144,2024-03-02,2024,S,F,N,1,141,TOR,144,ATL,2536,,,,,,,
748145,2024-03-02,2024,S,F,N,1,117,HOU,138,STL,5000,,,,,,,
748146,2024-03-02,2024,S,F,N,1,143,PHI,142,MIN,2700,,,,,,,
748147,2024-03-02,2024,S,F,N,1,116,DET,134,PIT,2511,,,,,,,
748148,2024-03-02,2024,S,F,N,1,139,TB,111,BOS,2534,,,,,,,
748149,2024-03-02,2024,S,F,N,1,146,MIA,121,NYM,2520,,,,,,,
748150,2024-03-02,2024,S,F,N,1,111,BOS,120,WSH,4309,,,,,,,
748119,2024-03-03,2024,S,F,N,1,109,AZ,158,MIL,4249,,,,,,,
748120,2024-03-03,2024,S,F,N,1,108,LAA,145,CWS,2500,,,,,,,
748121,2024-03-03,2024,S,F,N,1,114,CLE,137,SF,3834,,,,,,,
748122,2024-03-03,2024,S,F,N,1,135,SD,136,SEA,2530,,,,,,,
748123,2024-03-03,2024,S,F,N,1,133,OAK,140,TEX,2507,,,,,,,
748124,2024-03-03,2024,S,F,N,1,118,KC,113,CIN,2603,,,,,,,
748125,2024-03-03,2024,S,F,N,1,112,CHC,114,CLE,4629,,,,,,,
748126,2024-03-03,2024,S,F,N,1,119,LAD,115,COL,3809,,,,,,,
748127,2024-03-03,2024,S,F,N,1,144,ATL,143,PHI,5380,,,,,,,
748128,2024-03-03,2024,S,C,N,1,138,STL,146,MIA,2520,,,,,,,
748129,2024-03-03,2024,S,F,N,1,111,BOS,141,TOR,4309,,,,,,,
748130,2024-03-03,2024,S,C,N,1,120,WSH,146,MIA,5000,,,,,,,
748131,2024-03-03,2024,S,F,N,1,121,NYM,117,HOU,2856,,,,,,,
748132,2024-03-03,2024,S,F,N,1,142,MIN,139,TB,2862,,,,,,,
748133,2024-03-03,2024,S,F,N,1,147,NYY,116,DET,2523,,,,,,,
748134,2024-03-03,2024,S,F,N,1,134,PIT,110,BAL,2526,,,,,,,
748106,2024-03-04,2024,S,F,N,1,115,COL,137,SF,4249,,,,,,,
748107,2024-03-04,2024,S,F,N,1,113,CIN,133,OAK,3834,,,,,,,
748109,2024-03-04,2024,S,F,N,1,145,CWS,109,AZ,3809,,,,,,,
748110,2024-03-04,2024,S,F,N,1,135,SD,112,CHC,2530,,,,,,,
748111,2024-03-04,2024,S,F,N,1,140,TEX,108,LAA,2603,,,,,,,
748112,2024-03-04,2024,S,F,N,1,146,MIA,147,NYY,2520,,,,,,,
748113,2024-03-04,2024,S,F,N,1,141,TOR,143,PHI,2536,,,,,,,
748114,2024-03-04,2024,S,F,N,1,142,MIN,144,ATL,2862,,,,,,,
748115,2024-03-04,2024,S,F,N,1,116,DET,111,BOS,2511,,,,,,,
748116,2024-03-04,2024,S,F,N,1,139,TB,134,PIT,2534,,,,,,,
748117,2024-03-04,2024,S,F,N,1,110,BAL,142,MIN,2508,,,,,,,
748118,2024-03-04,2024,S,F,N,1,120,WSH,138,STL,5000,,,,,,,
748094,2024-03-05,2024,S,F,N,1,109,AZ,135,SD,4249,,,,,,,
748095,2024-03-05,2024,S,F,N,1,136,SEA,140,TEX,2530,,,,,,,
748096,2024-03-05,2024,S,F,N,1,114,CLE,136,SEA,3834,,,,,,,
748097,2024-03-05,2024,S,F,N,1,137,SF,158,MIL,2532,,,,,,,
748098,2024-03-05,2024,S,F,N,1,121,NYM,147,NYY,2856,,,,,,,
748099,2024-03-05,2024,S,F,N,1,118,KC,112,CHC,2603,,,,,,,
748100,2024-03-05,2024,S,F,N,1,119,LAD,108,LAA,3809,,,,,,,
748101,2024-03-05,2024,S,F,N,1,117,HOU,146,MIA,5000,,,,,,,
748102,2024-03-05,2024,S,F,N,1,134,PIT,141,TOR,2526,,,,,,,
748103,2024-03-05,2024,S,F,N,1,144,ATL,116,DET,5380,,,,,,,
748104,2024-03-05,2024,S,F,N,1,111,BOS,139,TB,4309,,,,,,,
748105,2024-03-05,2024,S,F,N,1,138,STL,142,MIN,2520,,,,,,,
748108,2024-03-05,2024,S,F,N,1,143,PHI,110,BAL,2700,,,,,,,
748080,2024-03-06,2024,S,F,N,1,113,CIN,158,MIL,3834,,,,,,,
748082,2024-03-06,2024,S,F,N,1,115,COL,140,TEX,4249,,,,,,,
748083,2024-03-06,2024,S,F,N,1,118,KC,136,SEA,2603,,,,,,,
748084,2024-03-06,2024,S,F,N,1,108,LAA,133,OAK,2500,,,,,,,
748085,2024-03-06,2024,S,F,N,1,145,CWS,119,LAD,3809,,,,,,,
748086,2024-03-06,2024,S,F,N,1,158,MIL,114,CLE,2518,,,,,,,
748087,2024-03-06,2024,S,F,N,1,135,SD,113,CIN,2530,,,,,,,
748088,2024-03-06,2024,S,F,N,1,110,BAL,134,PIT,2508,,,,,,,
748089,2024-03-06,2024,S,F,N,1,147,NYY,139,TB,2523,,,,,,,
748090,2024-03-06,2024,S,F,N,1,112,CHC,108,LAA,4629,,,,,,,
748091,2024-03-06,2024,S,C,N,1,117,HOU,121,NYM,5000,,,,,,,
748092,2024-03-06,2024,S,F,N,1,146,MIA,120,WSH,2520,,,,,,,
748093,2024-03-06,2024,S,F,N,1,142,MIN,111,BOS,2862,,,,,,,
748067,2024-03-07,2024,S,F,N,1,145,CWS,158,MIL,3809,,,,,,,
748069,2024-03-07,2024,S,C,N,1,115,COL,118,KC,4249,,,,,,,
748070,2024-03-07,2024,S,C,N,1,137,SF,119,LAD,2532,,,,,,,
748071,2024-03-07,2024,S,C,N,1,133,OAK,114,CLE,2507,,,,,,,
748072,2024-03-07,2024,S,F,N,1,113,CIN,112,CHC,3834,,,,,,,
748073,2024-03-07,2024,S,F,N,1,136,SEA,108,LAA,2530,,,,,,,
748074,2024-03-07,2024,S,F,N,1,140,TEX,109,AZ,2603,,,,,,,
748075,2024-03-07,2024,S,F,N,1,111,BOS,144,ATL,4309,,,,,,,
748076,2024-03-07,2024,S,F,N,1,139,TB,143,PHI,2534,,,,,,,
748077,2024-03-07,2024,S,F,N,1,116,DET,141,TOR,2511,,,,,,,
748078,2024-03-07,2024,S,F,N,1,121,NYM,120,WSH,2856,,,,,,,
748079,2024-03-07,2024,S,F,N,1,138,STL,117,HOU,2520,,,,,,,
748081,2024-03-07,2024,S,F,N,1,147,NYY,116,DET,2523,,,,,,,
748052,2024-03-08,2024,S,F,N,1,112,CHC,136,SEA,4629,,,,,,,
748053,2024-03-08,2024,S,F,N,1,114,CLE,145,CWS,3834,,,,,,,
748054,2024-03-08,2024,S,C,N,1,135,SD,137,SF,2530,,,,,,,
748056,2024-03-08,2024,S,C,N,1,119,LAD,113,CIN,3809,,,,,,,
748057,2024-03-08,2024,S,F,N,1,140,TEX,118,KC,2603,,,,,,,
748058,2024-03-08,2024,S,F,N,1,108,LAA,115,COL,2500,,,,,,,
748059,2024-03-08,2024,S,F,N,1,158,MIL,133,OAK,2518,,,,,,,
748060,2024-03-08,2024,S,F,N,1,141,TOR,147,NYY,2536,,,,,,,
748061,2024-03-08,2024,S,F,N,1,134,PIT,142,MIN,2526,,,,,,,
748062,2024-03-08,2024,S,F,N,1,109,AZ,112,CHC,4249,,,,,,,
748063,2024-03-08,2024,S,F,N,1,146,MIA,121,NYM,2520,,,,,,,
748064,2024-03-08,2024,S,F,N,1,144,ATL,134,PIT,5380,,,,,,,
748065,2024-03-08,2024,S,F,N,1,120,WSH,138,STL,5000,,,,,,,
748066,2024-03-08,2024,S,F,N,1,143,PHI,117,HOU,2700,,,,,,,
748068,2024-03-08,2024,S,F,N,1,110,BAL,116,DET,2508,,,,,,,
761562,2024-03-08,2024,S,F,N,1,133,OAK,158,MIL,5355,,,,,,,
748035,2024-03-09,2024,S,F,N,1,135,SD,145,CWS,2530,,,,,,,
748038,2024-03-09,2024,S,F,N,1,119,LAD,140,TEX,3809,,,,,,,
748039,2024-03-09,2024,S,F,N,1,112,CHC,115,COL,4629,,,,,,,
748040,2024-03-09,2024,S,F,N,1,158,MIL,136,SEA,2518,,,,,,,
748041,2024-03-09,2024,S,F,N,1,137,SF,133,OAK,2532,,,,,,,
748042,2024-03-09,2024,S,F,N,1,109,AZ,113,CIN,4249,,,,,,,
748043,2024-03-09,2024,S,F,N,1,118,KC,109,AZ,2603,,,,,,,
748044,2024-03-09,2024,S,F,N,1,120,WSH,146,MIA,5000,,,,,,,
748045,2024-03-09,2024,S,F,N,1,114,CLE,108,LAA,3834,,,,,,,
748046,2024-03-09,2024,S,F,N,1,142,MIN,147,NYY,2862,,,,,,,
748047,2024-03-09,2024,S,F,N,1,143,PHI,141,TOR,2700,,,,,,,
748048,2024-03-09,2024,S,F,N,1,117,HOU,120,WSH,5000,,,,,,,
748049,2024-03-09,2024,S,F,N,1,138,STL,121,NYM,2520,,,,,,,
748050,2024-03-09,2024,S,F,N,1,116,DET,134,PIT,2511,,,,,,,
748051,2024-03-09,2024,S,F,N,1,139,TB,111,BOS,3049,,,,,,,
748055,2024-03-09,2024,S,F,N,1,144,ATL,110,BAL,5380,,,,,,,
761561,2024-03-09,2024,S,F,N,1,133,OAK,158,MIL,5355,,,,,,,
748020,2024-03-10,2024,S,F,N,1,115,COL,158,MIL,4249,,,,,,,
748021,2024-03-10,2024,S,F,N,1,137,SF,145,CWS,2532,,,,,,,
748022,2024-03-10,2024,S,F,N,1,108,LAA,135,SD,2500,,,,,,,
748023,2024-03-10,2024,S,F,N,1,133,OAK,118,KC,2507,,,,,,,
748024,2024-03-10,2024,S,F,N,1,136,SEA,137,SF,2530,,,,,,,
748025,2024-03-10,2024,S,F,N,1,113,CIN,114,CLE,3834,,,,,,,
748026,2024-03-10,2024,S,F,N,1,140,TEX,112,CHC,2603,,,,,,,
748027,2024-03-10,2024,S,F,N,1,119,LAD,109,AZ,3809,,,,,,,
748028,2024-03-10,2024,S,F,N,1,117,HOU,146,MIA,5000,,,,,,,
748029,2024-03-10,2024,S,F,N,1,147,NYY,144,ATL,2523,,,,,,,
748030,2024-03-10,2024,S,F,N,1,110,BAL,141,TOR,2508,,,,,,,
748031,2024-03-10,2024,S,F,N,1,134,PIT,143,PHI,2526,,,,,,,
748032,2024-03-10,2024,S,F,N,1,142,MIN,120,WSH,2862,,,,,,,
748033,2024-03-10,2024,S,F,N,1,146,MIA,138,STL,2520,,,,,,,
748034,2024-03-10,2024,S,F,N,1,111,BOS,139,TB,3049,,,,,,,
748036,2024-03-10,2024,S,F,N,1,141,TOR,110,BAL,2536,,,,,,,
748037,2024-03-10,2024,S,F,N,1,121,NYM,116,DET,2856,,,,,,,
748006,2024-03-11,2024,S,F,N,1,108,LAA,140,TEX,2500,,,,,,,
748007,2024-03-11,2024,S,F,N,1,136,SEA,135,SD,2530,,,,,,,
748008,2024-03-11,2024,S,F,N,1,118,KC,137,SF,2603,,,,,,,
748009,2024-03-11,2024,S,F,N,1,114,CLE,119,LAD,3834,,,,,,,
748010,2024-03-11,2024,S,F,N,1,143,PHI,147,NYY,2700,,,,,,,
748011,2024-03-11,2024,S,F,N,1,145,CWS,115,COL,3809,,,,,,,
748012,2024-03-11,2024,S,F,N,1,109,AZ,133,OAK,4249,,,,,,,
748013,2024-03-11,2024,S,F,N,1,139,TB,141,TOR,2534,,,,,,,
748014,2024-03-11,2024,S,F,N,1,144,ATL,142,MIN,5380,,,,,,,
748015,2024-03-11,2024,S,F,N,1,111,BOS,134,PIT,4309,,,,,,,
748016,2024-03-11,2024,S,F,N,1,121,NYM,146,MIA,2856,,,,,,,
748017,2024-03-11,2024,S,F,N,1,138,STL,120,WSH,2520,,,,,,,
748018,2024-03-11,2024,S,F,N,1,147,NYY,110,BAL,2523,,,,,,,
748019,2024-03-11,2024,S,F,N,1,117,HOU,116,DET,5000,,,,,,,
747991,2024-03-12,2024,S,F,N,1,112,CHC,158,MIL,4629,,,,,,,
747993,2024-03-12,2024,S,F,N,1,113,CIN,145,CWS,3834,,,,,,,
747994,2024-03-12,2024,S,F,N,1,119,LAD,137,SF,3809,,,,,,,
747995,2024-03-12,2024,S,F,N,1,133,OAK,136,SEA,2507,,,,,,,
747996,2024-03-12,2024,S,F,N,1,140,TEX,114,CLE,2603,,,,,,,
747997,2024-03-12,2024,S,F,N,1,115,COL,118,KC,4249,,,,,,,
747998,2024-03-12,2024,S,F,N,1,141,TOR,147,NYY,2536,,,,,,,
747999,2024-03-12,2024,S,F,N,1,135,SD,109,AZ,2530,,,,,,,
748000,2024-03-12,2024,S,F,N,1,134,PIT,144,ATL,2526,,,,,,,
748001,2024-03-12,2024,S,F,N,1,111,BOS,138,STL,4309,,,,,,,
748002,2024-03-12,2024,S,F,N,1,110,BAL,139,TB,2508,,,,,,,
748003,2024-03-12,2024,S,F,N,1,116,DET,142,MIN,2511,,,,,,,
748004,2024-03-12,2024,S,F,N,1,120,WSH,121,NYM,5000,,,,,,,
748005,2024-03-12,2024,S,F,N,1,146,MIA,117,HOU,2520,,,,,,,
747976,2024-03-13,2024,S,F,N,1,158,MIL,145,CWS,2518,,,,,,,
747978,2024-03-13,2024,S,F,N,1,119,LAD,136,SEA,3809,,,,,,,
747979,2024-03-13,2024,S,F,N,1,135,SD,133,OAK,2530,,,,,,,
747980,2024-03-13,2024,S,F,N,1,137,SF,113,CIN,2532,,,,,,,
747981,2024-03-13,2024,S,F,N,1,109,AZ,115,COL,4249,,,,,,,
747982,2024-03-13,2024,S,F,N,1,114,CLE,112,CHC,3834,,,,,,,
747983,2024-03-13,2024,S,F,N,1,118,KC,108,LAA,2603,,,,,,,
747984,2024-03-13,2024,S,F,N,1,110,BAL,144,ATL,2508,,,,,,,
747985,2024-03-13,2024,S,F,N,1,139,TB,142,MIN,2534,,,,,,,
747986,2024-03-13,2024,S,F,N,1,142,MIN,138,STL,2862,,,,,,,
747987,2024-03-13,2024,S,F,N,1,141,TOR,134,PIT,2536,,,,,,,
747988,2024-03-13,2024,S,F,N,1,146,MIA,120,WSH,2520,,,,,,,
747989,2024-03-13,2024,S,F,N,1,121,NYM,117,HOU,2856,,,,,,,
747990,2024-03-13,2024,S,F,N,1,143,PHI,116,DET,2700,,,,,,,
747992,2024-03-13,2024,S,F,N,1,147,NYY,111,BOS,2523,,,,,,,
747964,2024-03-14,2024,S,F,N,1,136,SEA,158,MIL,2530,,,,,,,
747965,2024-03-14,2024,S,F,N,1,112,CHC,133,OAK,4629,,,,,,,
747966,2024-03-14,2024,S,F,N,1,109,AZ,118,KC,4249,,,,,,,
747967,2024-03-14,2024,S,F,N,1,114,CLE,115,COL,3834,,,,,,,
747968,2024-03-14,2024,S,F,N,1,140,TEX,113,CIN,2603,,,,,,,
747969,2024-03-14,2024,S,F,N,1,145,CWS,108,LAA,3809,,,,,,,
747970,2024-03-14,2024,S,F,N,1,116,DET,147,NYY,2511,,,,,,,
747971,2024-03-14,2024,S,F,N,1,144,ATL,139,TB,5380,,,,,,,
747972,2024-03-14,2024,S,F,N,1,142,MIN,141,TOR,2862,,,,,,,
747973,2024-03-14,2024,S,F,N,1,120,WSH,117,HOU,5000,,,,,,,
747974,2024-03-14,2024,S,F,N,1,138,STL,121,NYM,2520,,,,,,,
747975,2024-03-14,2024,S,F,N,1,143,PHI,111,BOS,2700,,,,,,,
747977,2024-03-14,2024,S,F,N,1,134,PIT,110,BAL,2526,,,,,,,
747949,2024-03-15,2024,S,C,N,1,133,OAK,137,SF,2507,,,,,,,
747950,2024-03-15,2024,S,C,N,1,115,COL,140,TEX,4249,,,,,,,
747951,2024-03-15,2024,S,C,N,1,113,CIN,118,KC,3834,,,,,,,
747952,2024-03-15,2024,S,C,N,1,108,LAA,136,SEA,2500,,,,,,,
747953,2024-03-15,2024,S,F,N,1,118,KC,114,CLE,2603,,,,,,,
747954,2024-03-15,2024,S,C,N,1,158,MIL,109,AZ,2518,,,,,,,
747955,2024-03-15,2024,S,F,N,1,145,CWS,112,CHC,3809,,,,,,,
747956,2024-03-15,2024,S,F,N,1,116,DET,144,ATL,2511,,,,,,,
747957,2024-03-15,2024,S,F,N,1,138,STL,146,MIA,2520,,,,,,,
747958,2024-03-15,2024,S,F,N,1,117,HOU,143,PHI,5000,,,,,,,
747959,2024-03-15,2024,S,F,N,1,111,BOS,142,MIN,4309,,,,,,,
747960,2024-03-15,2024,S,F,N,1,147,NYY,134,PIT,2523,,,,,,,
747961,2024-03-15,2024,S,F,N,1,121,NYM,120,WSH,2856,,,,,,,
747962,2024-03-15,2024,S,F,N,1,141,TOR,116,DET,2536,,,,,,,
747963,2024-03-15,2024,S,F,N,1,139,TB,110,BAL,2534,,,,,,,
747930,2024-03-16,2024,S,F,N,1,133,OAK,158,MIL,2507,,,,,,,
747932,2024-03-16,2024,S,F,N,1,136,SEA,145,CWS,2530,,,,,,,
